,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,100.1,100.1.1,100.1.1.1,100.1.1.1.1,1.1,2.1,-1
68,"Sorry,",no,results.,:(,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,"Sorry,",no,results.,:(,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,"squeeze,","success,","scuzzy,",skies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,"associate,","Scottie,","eyesight,","Scotty,","scoot,","scud,","scout,","scythe,","secede,","Scythia,","sect,","sickout,","Sgt.,","skeet,","sight,","Succoth,","skate,","Sukkot,","skewed,","Sukkoth,","skid,","swagged,","skit,","soaked,","society,","socket,","sought,","squad,","squat,","squid,","succeed,","suicide,","ascot,","Asquith,","escudo,","housecoat,","Sagitta,","scad,","scat,","scathe,","Scot,","Scotia,",Scott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,"assign,","scan,","scene,","sicken,","sign,","skin,","skinny,","assignee,","isogon,","Saginaw,","Saguenay,","Saigon,","scion,","scone,","sequin,","skein,","soigne,",soignee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,"Eskimo,","scam,","scum,","skim,","scummy,","sigma,",Sikkim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,"sigher,","Oscar,","skiwear,","saucer,","soaker,","scar,","succour,","scare,","Sucre,","scary,","score,","scour,","screw,","screwy,","scurry,","secure,","skewer,","skier,","soccer,","square,","squire,","succor,","sucker,","sugar,","sugary,","swagger,","asker,","escrow,","Esquire,","husker,","sacker,","sacra,","saguaro,","scoria,","scoriae,","scree,",seeker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,"suckle,","scale,","scaly,","scowl,",sea,"gull,","sequel,","sickle,","sickly,","skill,","skull,","social,","socially,","squall,","squeal,","asocial,","Ezekiel,","huskily,","Osceola,","sagely,","saucily,","Scalia,","Scilly,","scull,","Scylla,","seagull,","sequela,","sequelae,","Sicily,","sigil,","skoal,","skol,","soggily,",squally,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,"squash,","Sacajawea,","sickish,","skosh,","squashy,","squish,",squishy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,"sky-high,","squawk,","squeak,","squeaky,","Sacagawea,","seaquake,","Skagway,","skyhook,","squeegee,",sukiyaki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
